product_handle,variant_sku,seo_title,seo_description,seo_keywords,meta_canonical,og_image
liverhd,HD-MUSCLE-LIVERHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/liverhd/main.webp
kidneyhd,HD-MUSCLE-KIDNEYHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/kidneyhd/main.webp
k2,HD-MUSCLE-K2,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/k2/main.webp
glycohd,HD-MUSCLE-GLYCOHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/glycohd/main.webp
greenshd,HD-MUSCLE-GREENSHD-CITRUS,Buy HEALTH + WELLNESS Citrus by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/greenshd/main.webp
d3,HD-MUSCLE-D3,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/d3/main.webp
curcumin,HD-MUSCLE-CURCUMIN,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/curcumin/main.webp
collagenhd,HD-MUSCLE-COLLAGENHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/collagenhd/main.webp
citrus-bergamot,HD-MUSCLE-CITRUS-BERGAMOT,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/citrus-bergamot/main.webp
burnhd,HD-MUSCLE-BURNHD,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/burnhd/main.webp
betaine-hcl,HD-MUSCLE-BETAINE-HCL,Buy HEALTH + WELLNESS by HD Muscle | Upgraded.co.in,"Buy HEALTH + WELLNESS by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/betaine-hcl/main.webp
prehd-essential,HD-MUSCLE-PREHD-ESSENTIAL-BLUE-RASPBERRY,Buy PRE-WORKOUT Blue Raspberry by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/prehd-essential/main.webp
euphoria,HD-MUSCLE-EUPHORIA,Buy PRE-WORKOUT by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/euphoria/main.webp
stimhd,HD-MUSCLE-STIMHD,Buy PRE-WORKOUT by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/stimhd/main.webp
pumphd,HD-MUSCLE-PUMPHD-RAINBOW-STRIPS,Buy PRE-WORKOUT Rainbow Strips by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/pumphd/main.webp
prehd-black,HD-MUSCLE-PREHD-BLACK-STRAWBERRY-MANGO,Buy PRE-WORKOUT Strawberry Mango by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/prehd-black/main.webp
prehd-elite,HD-MUSCLE-PREHD-ELITE-TANGERINE,Buy PRE-WORKOUT Tangerine by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/prehd-elite/main.webp
prehd-ultra,HD-MUSCLE-PREHD-ULTRA-SOUR-GUMMIES,Buy PRE-WORKOUT Sour Gummies by HD Muscle | Upgraded.co.in,"Buy PRE-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/prehd-ultra/main.webp
eaas,HD-MUSCLE-EAAS-UNFLAVORED,Buy INTRA-WORKOUT Unflavored by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/eaas/main.webp
bcaa,HD-MUSCLE-BCAA,Buy INTRA-WORKOUT by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/bcaa/main.webp
intrahd,HD-MUSCLE-INTRAHD-GRAPEFRUIT,Buy INTRA-WORKOUT Grapefruit by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/intrahd/main.webp
hydrahd,HD-MUSCLE-HYDRAHD-TANGERINE,Buy INTRA-WORKOUT Tangerine by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/hydrahd/main.webp
glutahd,HD-MUSCLE-GLUTAHD,Buy INTRA-WORKOUT by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/glutahd/main.webp
creahd-creapurer,HD-MUSCLE-CREAHD-CREAPURER,Buy INTRA-WORKOUT by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/creahd-creapurer/main.webp
carbhd,HD-MUSCLE-CARBHD-UNFLAVORED,Buy INTRA-WORKOUT Unflavored by HD Muscle | Upgraded.co.in,"Buy INTRA-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/carbhd/main.webp
casein,HD-MUSCLE-CASEIN,Buy POST-WORKOUT by HD Muscle | Upgraded.co.in,"Buy POST-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/casein/main.webp
protein-pancakes,HD-MUSCLE-PROTEIN-PANCAKES,Buy POST-WORKOUT by HD Muscle | Upgraded.co.in,"Buy POST-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/protein-pancakes/main.webp
prohd-isolate,HD-MUSCLE-PROHD-ISOLATE-CHOCOLATE,Buy POST-WORKOUT Chocolate by HD Muscle | Upgraded.co.in,"Buy POST-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/prohd-isolate/main.webp
wheyhd,HD-MUSCLE-WHEYHD,Buy POST-WORKOUT by HD Muscle | Upgraded.co.in,"Buy POST-WORKOUT by HD Muscle on Upgraded.co.in. 100% authentic, lab-tested supplements with GST invoices and fast Pan-India delivery. Shop now.",,,/public/product-images/hd-muscle/wheyhd/main.webp
